Componente,Prob_Comp,Condicion,Prob_Cond,SIR 1 MIS
Sujetador Canasta/TuercaSpanner (Block/Nut Basket Drive),0.03%,Pegado/Congelado/Atrancado,0.00%,0
Sujetador Canasta/TuercaSpanner (Block/Nut Basket Drive),0.03%,Quebrado/Trozado/Arrancado,0.03%,1
Sujetador Canasta/TuercaSpanner (Block/Nut Basket Drive),0.03%,Ruido/Nivel de Sonido Excesivo,0.00%,0
Sujetador Canasta/TuercaSpanner (Block/Nut Basket Drive),0.03%,Suelto/Desprendido/Flojo,0.00%,0
Tapas / Cubiertas Traseras (Backguard),0.00%,Desalineado/Desensamblado,0.00%,0
Tapas / Cubiertas Traseras (Backguard),0.00%,Oxidado/Corroído,0.00%,0
Tapas / Cubiertas Traseras (Backguard),0.00%,Quebrado/Trozado/Arrancado,0.00%,0
Tapas / Cubiertas Traseras (Backguard),0.00%,Recubrimiento Defectuoso/Mal Esmaltado,0.00%,0
Tapas / Cubiertas Traseras (Backguard),0.00%,Suelto/Desprendido/Flojo,0.00%,0
Tapas / Cubiertas Traseras (Backguard),0.00%,Tornillos/Pijas Flojos/Sueltos/Faltantes/Barridos,0.00%,0
Tina,0.10%,Deformado/Torcido,0.00%,0
Tina,0.10%,Desalineado/Desensamblado,0.05%,1
Tina,0.10%,Desgastado/Barrido/Cristalizado,0.00%,0
Tina,0.10%,Fugas/Se Verificaron Fugas,0.00%,0
Tina,0.10%,Objeto Extraño Removido,0.00%,0
Tina,0.10%,Oxidado/Corroído,0.00%,0
Tina,0.10%,Quebrado/Trozado/Arrancado,0.05%,1
Tina,0.10%,Recubrimiento Defectuoso/Mal Esmaltado,0.00%,0
Tina,0.10%,Ruido/Nivel de Sonido Excesivo,0.00%,0
Tina,0.10%,Suelto/Desprendido/Flojo,0.00%,0
Valvula de drenado (ALD),0.00%,Cable Suelto/Roto/Cruzado,0.00%,0
Valvula de drenado (ALD),0.00%,Desalineado/Desensamblado,0.00%,0
Valvula de drenado (ALD),0.00%,Fugas/Se Verificaron Fugas,0.00%,0
Valvula de drenado (ALD),0.00%,Pegado/Congelado/Atrancado,0.00%,0
Valvula de drenado (ALD),0.00%,Quebrado/Trozado/Arrancado,0.00%,0
Valvula de drenado (ALD),0.00%,Suelto/Desprendido/Flojo,0.00%,0
Válvula Mezcladora/de Entrada/Electroválvula,0.10%,Abierto/Alambrado Abierto,0.05%,1
Válvula Mezcladora/de Entrada/Electroválvula,0.10%,Cable Suelto/Roto/Cruzado,0.00%,0
Válvula Mezcladora/de Entrada/Electroválvula,0.10%,Desalineado/Desensamblado,0.00%,0
Válvula Mezcladora/de Entrada/Electroválvula,0.10%,Empaque/Sello Defectuoso/Faltante,0.00%,0
Válvula Mezcladora/de Entrada/Electroválvula,0.10%,En Corto/Aterrizado,0.00%,0
Válvula Mezcladora/de Entrada/Electroválvula,0.10%,Fugas/Se Verificaron Fugas,0.00%,0
Válvula Mezcladora/de Entrada/Electroválvula,0.10%,Pegado/Congelado/Atrancado,0.00%,0
Válvula Mezcladora/de Entrada/Electroválvula,0.10%,Quebrado/Trozado/Arrancado,0.00%,0
Válvula Mezcladora/de Entrada/Electroválvula,0.10%,Quemado,0.05%,1
Válvula Mezcladora/de Entrada/Electroválvula,0.10%,Ruido/Nivel de Sonido Excesivo,0.00%,0
Válvula Mezcladora/de Entrada/Electroválvula,0.10%,Tapado/Bloqueado/Restringido/Sucio,0.00%,0
